category,relpath,size_human,bytes,lines,rows_est,mtime
grobid_tei,grobid_tei/27-Why Britain Chooses Brexit_ Post-Imperial Affects in Julian Barnes_ Fiction and Brexlits.tei.xml,81.8KB,83733,,,2026-02-25T22:55:39
grobid_tei,grobid_tei/27-_Sweet Mephistopheles_ tell me__ desire between the scholar and the devil in Christopher Marlo.tei.xml,83.7KB,85718,,,2026-02-25T22:55:41
grobid_tei,grobid_tei/28-The Sandcastle_ _investiture of freedom_ in Levinas and disciplined freedom in Murdoch.tei.xml,63.3KB,64782,,,2026-02-25T22:55:44
grobid_tei,grobid_tei/28-_We_re All Just Playing into Stories Created Before Our Time__ Fictional Female Serial Killers.tei.xml,73.3KB,75062,,,2026-02-25T22:55:46
grobid_tei,grobid_tei/28-__It_s Growl You May_ But go You Must__ The Untapped Potential of the Sailor_s Chantey_.tei.xml,102.5KB,104996,,,2026-02-25T22:55:49
grobid_tei,grobid_tei/29-Anthropomorphism in Professional Crocodile and Agamben_s _man-animal_.tei.xml,51.1KB,52309,,,2026-02-25T22:55:51
grobid_tei,grobid_tei/29-Lateral Composition and Posthuman Community in Kazuo Ishiguro_s Klara and the Sun.tei.xml,58.3KB,59699,,,2026-02-25T22:55:54
grobid_tei,grobid_tei/29-_By Any Means Necessary__ Corporate Capitalism and Pathological Narcissism in Gary Shteyngart_.tei.xml,88.5KB,90633,,,2026-02-25T22:55:56
grobid_tei,paper1.tei.xml,97.7KB,99997,,,2026-02-25T22:49:49
lexical_bundles,bundles_top20_long.csv,856.4KB,876998,7501,7500,2026-02-25T22:45:26
other,.DS_Store,10.0KB,10244,,,2026-02-25T23:56:56
other,ULTIMATE_ACADEMIC_STYLO_REPORT_ENRICHED_v1.csv,2.3MB,2403438,126,125,2026-02-26T00:36:29
other,ULTIMATE_ACADEMIC_STYLO_REPORT_RAW_v1.csv,2.2MB,2309884,126,125,2026-02-26T00:36:27
other,grobid_sections/MASTER_metrics_sections_metadata.csv,2.2MB,2263648,126,125,2026-02-25T23:57:43
other,grobid_sections/MASTER_v2.csv,2.2MB,2272591,126,125,2026-02-26T00:09:14
other,grobid_sections/TEST_output.csv,11.3KB,11614,126,125,2026-02-25T23:37:44
other,grobid_sections/author_signature_residual_clusters.csv,20.6KB,21124,126,125,2026-02-26T00:12:01
other,grobid_sections/journal_effect_sizes_eta2.csv,422.5KB,432671,6660,6659,2026-02-26T00:21:28
other,grobid_sections/journal_section_template_canonical.csv,813.0B,813,7,6,2026-02-26T00:16:01
other,grobid_sections/journal_template_means.csv,36.9KB,37766,2,1,2026-02-25T23:57:56
other,grobid_sections/journal_template_strength.csv,1.0KB,1058,7,6,2026-02-26T00:21:15
other,grobid_sections/metadata_enriched.csv,49.0KB,50187,126,125,2026-02-26T00:08:01
other,grobid_sections/metadata_from_tei.csv,43.5KB,44542,126,125,2026-02-25T23:57:13
other,grobid_sections/per_article_section_metrics_wide.csv,1.5MB,1594219,126,125,2026-02-25T23:52:40
other,grobid_sections/per_article_template_complexity.csv,24.5KB,25083,126,125,2026-02-25T23:57:56
other,grobid_sections/section_name_frequencies.csv,21.6KB,22096,510,509,2026-02-25T23:52:40
other,grobid_sections/section_raw_name_counts.csv,21.0KB,21493,509,508,2026-02-26T00:16:01
other,grobid_sections/sections.jsonl,6.0MB,6329607,125,,2026-02-25T23:30:49
other,grobid_sections/structure_style_pc_correlations.csv,657.0B,657,6,5,2026-02-26T00:24:22
parquet,ULTIMATE_ACADEMIC_STYLO_REPORT_ENRICHED_v1.parquet,7.6MB,7997877,,,2026-02-26T00:36:29
parquet,ULTIMATE_ACADEMIC_STYLO_REPORT_RAW_v1.parquet,7.6MB,7988444,,,2026-02-26T00:36:28
